"Ensembl_with_version","Ensembl","PosDegree","NegDegree","TotalDiffDegree"
"ENSG00000123500.10","ENSG00000123500",0,6,6
"ENSG00000163815.6","ENSG00000163815",3,2,5
"ENSG00000099953.10","ENSG00000099953",0,7,7
"ENSG00000164530.15","ENSG00000164530",1,5,6
"ENSG00000197766.8","ENSG00000197766",0,2,2
"ENSG00000162849.16","ENSG00000162849",56,9,65
"ENSG00000126218.12","ENSG00000126218",0,0,0
"ENSG00000182253.15","ENSG00000182253",1,120,121
"ENSG00000068976.14","ENSG00000068976",5,126,131
"ENSG00000060718.22","ENSG00000060718",0,5,5
"ENSG00000127528.6","ENSG00000127528",0,0,0
"ENSG00000095303.17","ENSG00000095303",5,110,115
"ENSG00000181856.15","ENSG00000181856",13,78,91
"ENSG00000153446.16","ENSG00000153446",0,0,0
"ENSG00000172348.15","ENSG00000172348",5,32,37
"ENSG00000065325.13","ENSG00000065325",10,23,33
"ENSG00000172403.11","ENSG00000172403",3,92,95
"ENSG00000101605.13","ENSG00000101605",8,96,104
"ENSG00000128591.16","ENSG00000128591",17,106,123
"ENSG00000004776.13","ENSG00000004776",13,45,58
"ENSG00000171368.12","ENSG00000171368",16,1,17
"ENSG00000163017.14","ENSG00000163017",2,137,139
"ENSG00000130176.8","ENSG00000130176",8,113,121
"ENSG00000162882.15","ENSG00000162882",0,0,0
"ENSG00000101955.15","ENSG00000101955",0,2,2
"ENSG00000149451.18","ENSG00000149451",0,2,2
"ENSG00000100628.12","ENSG00000100628",3,145,148
"ENSG00000141052.18","ENSG00000141052",1,133,134
"ENSG00000022267.19","ENSG00000022267",28,52,80
"ENSG00000154330.13","ENSG00000154330",19,86,105
"ENSG00000103241.7","ENSG00000103241",0,3,3
"ENSG00000133392.18","ENSG00000133392",2,108,110
"ENSG00000239474.7","ENSG00000239474",8,102,110
"ENSG00000131831.18","ENSG00000131831",10,1,11
"ENSG00000111077.18","ENSG00000111077",0,0,0
"ENSG00000179094.16","ENSG00000179094",1,1,2
"ENSG00000132554.20","ENSG00000132554",0,3,3
"ENSG00000163431.13","ENSG00000163431",6,112,118
"ENSG00000198835.4","ENSG00000198835",5,4,9
"ENSG00000166482.12","ENSG00000166482",3,0,3
"ENSG00000158246.8","ENSG00000158246",13,0,13
"ENSG00000144655.15","ENSG00000144655",0,0,0
"ENSG00000135472.9","ENSG00000135472",1,2,3
"ENSG00000154734.16","ENSG00000154734",0,0,0
"ENSG00000072163.20","ENSG00000072163",14,78,92
"ENSG00000122367.20","ENSG00000122367",0,0,0
"ENSG00000123243.15","ENSG00000123243",3,41,44
"ENSG00000108405.4","ENSG00000108405",1,71,72
"ENSG00000112658.8","ENSG00000112658",16,1,17
"ENSG00000131471.7","ENSG00000131471",4,140,144
"ENSG00000132561.14","ENSG00000132561",0,10,10
"ENSG00000168497.5","ENSG00000168497",1,41,42
"ENSG00000261625.1","ENSG00000261625",0,0,0
"ENSG00000065534.19","ENSG00000065534",2,72,74
"ENSG00000133800.9","ENSG00000133800",0,9,9
"ENSG00000116741.8","ENSG00000116741",6,1,7
"ENSG00000145936.9","ENSG00000145936",8,117,125
"ENSG00000168490.14","ENSG00000168490",0,0,0
"ENSG00000168306.13","ENSG00000168306",0,53,53
"ENSG00000180525.13","ENSG00000180525",1,42,43
"ENSG00000162630.6","ENSG00000162630",1,3,4
"ENSG00000078596.11","ENSG00000078596",0,7,7
"ENSG00000118407.15","ENSG00000118407",14,91,105
"ENSG00000187824.9","ENSG00000187824",0,0,0
"ENSG00000188783.6","ENSG00000188783",6,68,74
"ENSG00000161281.11","ENSG00000161281",1,13,14
"ENSG00000268388.6","ENSG00000268388",1,42,43
"ENSG00000100307.13","ENSG00000100307",1,5,6
"ENSG00000168477.19","ENSG00000168477",1,22,23
"ENSG00000163827.13","ENSG00000163827",1,7,8
"ENSG00000149596.7","ENSG00000149596",1,144,145
"ENSG00000095637.22","ENSG00000095637",8,86,94
"ENSG00000152583.12","ENSG00000152583",3,43,46
"ENSG00000165197.5","ENSG00000165197",1,83,84
"ENSG00000172935.9","ENSG00000172935",7,41,48
"ENSG00000173175.15","ENSG00000173175",15,41,56
"ENSG00000120129.6","ENSG00000120129",2,0,2
"ENSG00000101335.10","ENSG00000101335",5,117,122
"ENSG00000132840.10","ENSG00000132840",2,135,137
"ENSG00000229619.4","ENSG00000229619",11,127,138
"ENSG00000106034.18","ENSG00000106034",2,101,103
"ENSG00000184347.15","ENSG00000184347",0,33,33
"ENSG00000198624.13","ENSG00000198624",5,139,144
"ENSG00000160801.14","ENSG00000160801",0,0,0
"ENSG00000079308.19","ENSG00000079308",4,141,145
"ENSG00000112183.15","ENSG00000112183",2,4,6
"ENSG00000147408.14","ENSG00000147408",0,3,3
"ENSG00000187942.12","ENSG00000187942",2,89,91
"ENSG00000121577.14","ENSG00000121577",12,46,58
"ENSG00000164188.9","ENSG00000164188",3,33,36
"ENSG00000036448.10","ENSG00000036448",3,0,3
"ENSG00000077943.8","ENSG00000077943",0,0,0
"ENSG00000163380.16","ENSG00000163380",1,70,71
"ENSG00000186198.4","ENSG00000186198",3,5,8
"ENSG00000243742.5","ENSG00000243742",1,1,2
"ENSG00000109846.9","ENSG00000109846",6,3,9
"ENSG00000138356.14","ENSG00000138356",3,3,6
"ENSG00000123358.20","ENSG00000123358",0,0,0
"ENSG00000128849.11","ENSG00000128849",3,57,60
"ENSG00000153902.14","ENSG00000153902",0,0,0
"ENSG00000183963.19","ENSG00000183963",36,142,178
"ENSG00000175084.12","ENSG00000175084",3,115,118
"ENSG00000163145.13","ENSG00000163145",0,1,1
"ENSG00000162407.9","ENSG00000162407",0,3,3
"ENSG00000110583.13","ENSG00000110583",73,1,74
"ENSG00000160298.18","ENSG00000160298",0,7,7
"ENSG00000165410.15","ENSG00000165410",49,134,183
"ENSG00000077157.22","ENSG00000077157",5,118,123
"ENSG00000166831.9","ENSG00000166831",17,147,164
"ENSG00000187479.8","ENSG00000187479",10,1,11
"ENSG00000159176.14","ENSG00000159176",20,129,149
"ENSG00000129682.16","ENSG00000129682",1,3,4
"ENSG00000122035.7","ENSG00000122035",4,0,4
"ENSG00000186642.16","ENSG00000186642",26,13,39
"ENSG00000197380.11","ENSG00000197380",22,55,77
"ENSG00000182575.8","ENSG00000182575",3,16,19
"ENSG00000114268.12","ENSG00000114268",33,10,43
"ENSG00000138944.8","ENSG00000138944",24,77,101
"ENSG00000107796.13","ENSG00000107796",9,117,126
"ENSG00000162614.19","ENSG00000162614",12,111,123
"ENSG00000164736.6","ENSG00000164736",18,1,19
"ENSG00000196924.19","ENSG00000196924",21,139,160
"ENSG00000206052.11","ENSG00000206052",1,21,22
"ENSG00000059915.17","ENSG00000059915",21,70,91
"ENSG00000196557.13","ENSG00000196557",31,74,105
"ENSG00000116604.18","ENSG00000116604",0,1,1
"ENSG00000149294.17","ENSG00000149294",14,88,102
"ENSG00000196550.10","ENSG00000196550",30,1,31
"ENSG00000122420.10","ENSG00000122420",5,37,42
"ENSG00000163710.9","ENSG00000163710",1,103,104
"ENSG00000165424.7","ENSG00000165424",0,77,77
"ENSG00000198467.16","ENSG00000198467",17,107,124
"ENSG00000103710.11","ENSG00000103710",10,70,80
"ENSG00000108823.16","ENSG00000108823",2,71,73
"ENSG00000203685.10","ENSG00000203685",13,78,91
"ENSG00000181804.15","ENSG00000181804",0,2,2
"ENSG00000185739.13","ENSG00000185739",2,0,2
"ENSG00000262097.2","ENSG00000262097",0,0,0
"ENSG00000118526.7","ENSG00000118526",0,1,1
"ENSG00000172987.13","ENSG00000172987",0,29,29
"ENSG00000127951.8","ENSG00000127951",2,129,131
"ENSG00000106772.18","ENSG00000106772",12,118,130
"ENSG00000136842.14","ENSG00000136842",10,53,63
"ENSG00000142871.18","ENSG00000142871",0,0,0
"ENSG00000153234.15","ENSG00000153234",1,2,3
"ENSG00000134201.12","ENSG00000134201",0,2,2
"ENSG00000173641.18","ENSG00000173641",5,69,74
"ENSG00000148180.21","ENSG00000148180",0,83,83
"ENSG00000149591.17","ENSG00000149591",11,132,143
"ENSG00000166501.14","ENSG00000166501",0,3,3
"ENSG00000174099.12","ENSG00000174099",3,115,118
"ENSG00000100583.4","ENSG00000100583",0,0,0
"ENSG00000240583.13","ENSG00000240583",1,2,3
"ENSG00000154175.18","ENSG00000154175",0,22,22
"ENSG00000187955.12","ENSG00000187955",0,4,4
"ENSG00000168386.18","ENSG00000168386",0,7,7
"ENSG00000061455.11","ENSG00000061455",1,58,59
"ENSG00000184445.12","ENSG00000184445",1,3,4
"ENSG00000136244.12","ENSG00000136244",0,0,0
"ENSG00000074416.14","ENSG00000074416",0,0,0
"ENSG00000159251.8","ENSG00000159251",4,23,27
"ENSG00000077782.21","ENSG00000077782",7,91,98
"ENSG00000189056.14","ENSG00000189056",3,2,5
"ENSG00000163687.14","ENSG00000163687",27,6,33
"ENSG00000245812.3","ENSG00000245812",15,3,18
"ENSG00000198523.6","ENSG00000198523",1,91,92
"ENSG00000132329.11","ENSG00000132329",12,10,22
"ENSG00000164330.17","ENSG00000164330",4,2,6
"ENSG00000164764.11","ENSG00000164764",13,91,104
"ENSG00000177374.13","ENSG00000177374",1,0,1
"ENSG00000197361.8","ENSG00000197361",8,100,108
"ENSG00000181544.15","ENSG00000181544",0,5,5
"ENSG00000076555.15","ENSG00000076555",6,31,37
"ENSG00000136717.15","ENSG00000136717",3,10,13
"ENSG00000127920.6","ENSG00000127920",1,0,1
"ENSG00000198554.12","ENSG00000198554",0,9,9
"ENSG00000070808.16","ENSG00000070808",8,90,98
"ENSG00000268754.4","ENSG00000268754",0,1,1
"ENSG00000118785.14","ENSG00000118785",6,3,9
"ENSG00000175899.15","ENSG00000175899",0,0,0
"ENSG00000133121.21","ENSG00000133121",0,8,8
"ENSG00000197256.11","ENSG00000197256",20,144,164
"ENSG00000176208.9","ENSG00000176208",5,12,17
"ENSG00000203814.6","ENSG00000203814",10,3,13
"ENSG00000069535.14","ENSG00000069535",21,145,166
"ENSG00000066735.14","ENSG00000066735",1,1,2
"ENSG00000144891.18","ENSG00000144891",1,109,110
"ENSG00000121671.12","ENSG00000121671",0,1,1
"ENSG00000138685.17","ENSG00000138685",9,14,23
"ENSG00000164283.13","ENSG00000164283",1,2,3
"ENSG00000103175.11","ENSG00000103175",1,3,4
"ENSG00000004799.8","ENSG00000004799",0,0,0
"ENSG00000156113.24","ENSG00000156113",1,117,118
"ENSG00000277494.2","ENSG00000277494",6,1,7
"ENSG00000151320.11","ENSG00000151320",20,88,108
"ENSG00000072952.19","ENSG00000072952",1,97,98
"ENSG00000126785.13","ENSG00000126785",0,4,4
"ENSG00000150995.20","ENSG00000150995",0,217,217
"ENSG00000131018.24","ENSG00000131018",1,5,6
"ENSG00000106144.20","ENSG00000106144",60,8,68
"ENSG00000112320.12","ENSG00000112320",5,166,171
"ENSG00000075073.15","ENSG00000075073",0,118,118
"ENSG00000165966.16","ENSG00000165966",11,65,76
"ENSG00000008441.18","ENSG00000008441",1,66,67
"ENSG00000048540.15","ENSG00000048540",14,66,80
"ENSG00000111981.5","ENSG00000111981",62,1,63
"ENSG00000128016.7","ENSG00000128016",0,0,0
"ENSG00000165124.18","ENSG00000165124",0,7,7
"ENSG00000148411.8","ENSG00000148411",19,193,212
"ENSG00000130032.17","ENSG00000130032",0,17,17
"ENSG00000108381.11","ENSG00000108381",1,0,1
"ENSG00000150764.14","ENSG00000150764",6,60,66
"ENSG00000135842.17","ENSG00000135842",5,184,189
"ENSG00000153823.19","ENSG00000153823",1,32,33
"ENSG00000185052.12","ENSG00000185052",0,0,0
"ENSG00000143878.10","ENSG00000143878",2,7,9
"ENSG00000184557.4","ENSG00000184557",2,1,3
"ENSG00000138722.10","ENSG00000138722",3,0,3
"ENSG00000073712.15","ENSG00000073712",42,88,130
"ENSG00000135424.18","ENSG00000135424",33,49,82
"ENSG00000197043.14","ENSG00000197043",10,49,59
"ENSG00000148339.12","ENSG00000148339",0,0,0
"ENSG00000178222.13","ENSG00000178222",5,1,6
"ENSG00000259658.5","ENSG00000259658",0,0,0
"ENSG00000119929.13","ENSG00000119929",0,1,1
"ENSG00000136732.16","ENSG00000136732",1,2,3
"ENSG00000164197.12","ENSG00000164197",1,23,24
"ENSG00000078804.13","ENSG00000078804",16,8,24
"ENSG00000141338.14","ENSG00000141338",0,1,1
"ENSG00000159713.11","ENSG00000159713",0,0,0
"ENSG00000187239.17","ENSG00000187239",17,109,126
"ENSG00000108840.15","ENSG00000108840",1,0,1
"ENSG00000132326.12","ENSG00000132326",7,0,7
"ENSG00000068831.19","ENSG00000068831",2,0,2
"ENSG00000165633.13","ENSG00000165633",0,18,18
"ENSG00000164303.11","ENSG00000164303",0,4,4
"ENSG00000131473.17","ENSG00000131473",0,2,2
"ENSG00000132837.15","ENSG00000132837",1,59,60
"ENSG00000119138.4","ENSG00000119138",1,0,1
"ENSG00000182916.8","ENSG00000182916",4,6,10
"ENSG00000189134.4","ENSG00000189134",7,11,18
"ENSG00000177363.5","ENSG00000177363",0,11,11
"ENSG00000140416.23","ENSG00000140416",13,170,183
"ENSG00000071242.12","ENSG00000071242",1,1,2
"ENSG00000140092.14","ENSG00000140092",0,13,13
"ENSG00000172260.15","ENSG00000172260",7,82,89
"ENSG00000174059.17","ENSG00000174059",1,6,7
"ENSG00000102010.15","ENSG00000102010",1,1,2
"ENSG00000109063.15","ENSG00000109063",13,4,17
"ENSG00000155760.2","ENSG00000155760",6,23,29
"ENSG00000109906.14","ENSG00000109906",3,0,3
"ENSG00000108379.10","ENSG00000108379",0,4,4
"ENSG00000129116.19","ENSG00000129116",17,114,131
"ENSG00000124212.6","ENSG00000124212",5,95,100
"ENSG00000121440.15","ENSG00000121440",5,100,105
"ENSG00000159055.4","ENSG00000159055",11,10,21
"ENSG00000141448.11","ENSG00000141448",1,8,9
"ENSG00000048740.18","ENSG00000048740",0,43,43
"ENSG00000155011.9","ENSG00000155011",2,2,4
"ENSG00000161835.11","ENSG00000161835",32,1,33
"ENSG00000167281.19","ENSG00000167281",11,124,135
"ENSG00000183010.17","ENSG00000183010",1,14,15
"ENSG00000154065.17","ENSG00000154065",7,21,28
"ENSG00000149090.12","ENSG00000149090",0,3,3
"ENSG00000168734.14","ENSG00000168734",17,66,83
"ENSG00000135063.19","ENSG00000135063",1,26,27
"ENSG00000148357.16","ENSG00000148357",1,40,41
"ENSG00000178878.13","ENSG00000178878",1,0,1
"ENSG00000080854.16","ENSG00000080854",23,120,143
"ENSG00000106809.11","ENSG00000106809",0,15,15
"ENSG00000140682.19","ENSG00000140682",18,140,158
"ENSG00000089486.17","ENSG00000089486",0,0,0
"ENSG00000134769.21","ENSG00000134769",26,109,135
"ENSG00000115363.14","ENSG00000115363",1,1,2
"ENSG00000163637.13","ENSG00000163637",4,30,34
"ENSG00000255248.9","ENSG00000255248",6,24,30
"ENSG00000111275.13","ENSG00000111275",1,33,34
"ENSG00000147799.11","ENSG00000147799",80,8,88
"ENSG00000108342.13","ENSG00000108342",0,3,3
"ENSG00000225697.13","ENSG00000225697",1,1,2
"ENSG00000116698.21","ENSG00000116698",1,0,1
"ENSG00000174944.9","ENSG00000174944",0,1,1
"ENSG00000269113.4","ENSG00000269113",0,0,0
"ENSG00000108691.9","ENSG00000108691",0,0,0
"ENSG00000119508.18","ENSG00000119508",0,0,0
"ENSG00000082175.15","ENSG00000082175",0,0,0
"ENSG00000108551.5","ENSG00000108551",1,0,1
"ENSG00000224307.2","ENSG00000224307",56,3,59
"ENSG00000123570.4","ENSG00000123570",8,117,125
"ENSG00000169258.7","ENSG00000169258",3,1,4
"ENSG00000186594.14","ENSG00000186594",4,3,7
"ENSG00000211445.12","ENSG00000211445",0,1,1
"ENSG00000025423.11","ENSG00000025423",1,4,5
"ENSG00000166165.13","ENSG00000166165",23,139,162
"ENSG00000100739.11","ENSG00000100739",0,0,0
"ENSG00000000460.17","ENSG00000000460",3,2,5
"ENSG00000105499.14","ENSG00000105499",0,11,11
"ENSG00000204136.11","ENSG00000204136",1,2,3
"ENSG00000143630.10","ENSG00000143630",2,0,2
"ENSG00000136295.15","ENSG00000136295",8,6,14
"ENSG00000196584.3","ENSG00000196584",1,3,4
"ENSG00000100448.4","ENSG00000100448",1,0,1
"ENSG00000143772.9","ENSG00000143772",27,122,149
"ENSG00000145777.15","ENSG00000145777",3,0,3
"ENSG00000182534.13","ENSG00000182534",33,125,158
"ENSG00000163297.17","ENSG00000163297",11,73,84
"ENSG00000220205.9","ENSG00000220205",23,1,24
"ENSG00000237125.11","ENSG00000237125",14,51,65
"ENSG00000154920.15","ENSG00000154920",1,4,5
"ENSG00000183690.13","ENSG00000183690",1,23,24
"ENSG00000145362.20","ENSG00000145362",2,19,21
"ENSG00000109610.6","ENSG00000109610",0,10,10
"ENSG00000121898.13","ENSG00000121898",15,95,110
"ENSG00000122707.12","ENSG00000122707",2,12,14
"ENSG00000183087.15","ENSG00000183087",1,2,3
"ENSG00000122565.19","ENSG00000122565",4,5,9
"ENSG00000164949.8","ENSG00000164949",4,0,4
"ENSG00000138346.15","ENSG00000138346",0,1,1
"ENSG00000154556.18","ENSG00000154556",4,102,106
"ENSG00000091436.17","ENSG00000091436",16,191,207
"ENSG00000137726.17","ENSG00000137726",26,100,126
"ENSG00000272476.1","ENSG00000272476",3,1,4
"ENSG00000280339.1","ENSG00000280339",0,1,1
"ENSG00000131697.18","ENSG00000131697",0,1,1
"ENSG00000117013.17","ENSG00000117013",23,128,151
"ENSG00000081189.16","ENSG00000081189",0,8,8
"ENSG00000166963.13","ENSG00000166963",25,135,160
"ENSG00000177469.13","ENSG00000177469",11,142,153
"ENSG00000197245.6","ENSG00000197245",0,0,0
"ENSG00000144218.19","ENSG00000144218",14,46,60
"ENSG00000117593.12","ENSG00000117593",12,11,23
"ENSG00000136826.15","ENSG00000136826",8,0,8
"ENSG00000130052.13","ENSG00000130052",0,0,0
"ENSG00000166086.13","ENSG00000166086",13,58,71
"ENSG00000005102.14","ENSG00000005102",1,0,1
"ENSG00000177432.8","ENSG00000177432",0,15,15
"ENSG00000170271.11","ENSG00000170271",1,4,5
